SeqNum,MAANTH,MGEMLE,MGEMOM,AMOTSC,AWAPAR,APERSA,Resp,rand,RespHoldout,PWAPAR2,PAANHA2,PPERSA2,MSKB12,MAUT02,MHHUUR2,MAUT22,MINKGE2,MFALLE2,MRELGE2,MGODRK2,MOPLHO2,MFWEKI2,MSKB22,MGODPR2,MSKC2,MAUT12,MSKA2,mostyp_1,mostyp_2,mostyp_3,mostyp_4,mostyp_5,mostyp_6,mostyp_7,mostyp_8,mostyp_9,mostyp_10,mostyp_11,mostyp_12,mostyp_13,mostyp_14,mostyp_15,mostyp_16,mostyp_17,mostyp_18,mostyp_19,mostyp_20,mostyp_21,mostyp_22,mostyp_23,mostyp_24,mostyp_25,mostyp_26,mostyp_27,mostyp_28,mostyp_29,mostyp_30,mostyp_31,mostyp_32,mostyp_33,mostyp_34,mostyp_35,mostyp_37,mostyp_38,mostyp_39,mostyp_40,mostyp_41,MOSHOO_1,MOSHOO_2,MOSHOO_3,MOSHOO_4,MOSHOO_5,MOSHOO_6,MOSHOO_7,MOSHOO_8,MOSHOO_9,MOSHOO_10
55,3,6,0,1,0,0,0,0.4526517999,,350,0,0,30,30,5.5,0,30,5.5,5.5,17,94,30,5.5,0,0,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,2,5,0,1,0,0,0,0.0637336709,,350,0,0,56,30,0,5.5,56,0,0,43,82,0,30,5.5,0,69,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,2,5,0,0,0,0,0,0.0032389439,,0,0,0,5.5,30,5.5,30,69,5.5,43,56,5.5,30,0,0,30,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,3,4,0,0,0,0,0,0.698719859,,0,0,0,17,5.5,5.5,17,56,43,0,30,17,82,17,0,56,43,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,4,5,0,0,0,0,0,0.5471246497,,0,0,0,17,17,5.5,5.5,17,30,17,30,0,43,43,0,56,56,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,3,4,2,0,0,0,0,0.5369497102,,0,0,0,30,17,17,0,69,0,30,17,82,56,43,0,0,56,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,1,2,0,0,0,0,0,0.1791109271,,0,0,0,5.5,0,0,17,30,43,0,43,0,43,0,0,43,82,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,3,0,2,1,0,0,0,0.5341955961,,75,0,0,5.5,0,0,17,69,0,0,30,5.5,17,17,43,69,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,3,6,0,1,0,0,0,0.2830179135,,350,0,0,30,17,82,0,69,0,43,56,100,43,56,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,2,5,0,0,0,0,0,0.0438234224,,0,0,0,30,0,30,0,43,0,17,56,17,43,30,0,43,43,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,3,5,0,1,0,0,0,0.5472897256,,350,0,0,30,5.5,43,5.5,82,17,30,56,94,30,30,0,0,43,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,2,4,3,1,0,0,0,0.6314860618,,350,0,0,30,5.5,17,17,69,0,30,0,82,30,43,5.5,5.5,56,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,4,5,0,0,0,0,0,0.0464705988,,0,0,0,30,17,0,0,69,17,0,43,82,43,5.5,0,17,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,3,4,0,0,0,0,0,0.0959709892,,0,0,0,17,17,5.5,5.5,43,17,0,43,5.5,43,30,0,43,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,3,3,0,0,0,0,0,0.0523649995,,0,0,0,17,5.5,69,5.5,69,5.5,43,30,100,82,56,30,30,5.5,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,3,4,1,0,0,0,0,0.1649503113,,0,0,0,30,5.5,5.5,17,69,5.5,17,30,94,43,5.5,5.5,5.5,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,4,4,0,0,0,0,0,0.6961794676,,0,0,0,17,17,0,5.5,69,5.5,0,56,56,100,43,5.5,56,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,3,0,5,1,0,0,0,0.6805513849,,0,0,0,30,5.5,69,0,94,0,56,0,100,43,94,69,5.5,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,3,6,0,0,0,0,0,0.2566991226,,150,0,0,30,17,5.5,0,43,5.5,5.5,43,82,30,17,0,0,43,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,1,2,0,0,0,0,0,0.4261188761,,0,0,0,17,30,0,17,30,17,5.5,17,0,56,5.5,0,43,43,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,3,7,2,1,0,0,0,0.0985903098,,25,0,0,30,17,30,5.5,94,0,43,30,100,56,69,5.5,30,17,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,2,0,0,1,0,0,0,0.6723798135,,350,0,0,43,56,17,0,56,17,17,56,100,30,17,17,0,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,2,4,0,1,0,0,0,0.6332893011,,75,0,0,17,69,5.5,5.5,43,17,5.5,82,69,43,5.5,0,0,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,3,4,3,0,0,0,0,0.0958389841,,0,0,0,30,17,0,5.5,43,5.5,0,69,100,43,5.5,5.5,0,43,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,3,6,0,1,0,0,0,0.2733409373,,350,0,0,30,17,5.5,0,69,5.5,30,43,69,43,17,0,0,43,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,5,4,1,1,0,0,0,0.3704844086,,25,0,0,5.5,43,0,0,5.5,17,5.5,56,5.5,17,0,0,17,17,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,3,6,0,0,0,0,1,0.063673893,,0,0,0,17,5.5,5.5,5.5,43,5.5,56,56,0,5.5,56,0,0,56,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,2,4,1,1,0,0,0,0.5378348881,,75,0,0,17,5.5,5.5,30,17,5.5,5.5,30,5.5,30,30,30,56,30,5.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,2,4,1,0,0,0,0,0.452898557,,0,0,0,30,69,5.5,0,30,0,5.5,56,69,17,17,0,30,17,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,4,6,0,0,0,0,0,0.0242203768,,0,0,0,30,17,43,0,94,17,30,69,100,43,69,0,0,43,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,5,4,1,1,0,0,0,0.4650073417,,350,0,0,17,0,43,0,69,43,17,56,100,17,43,17,30,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,2,3,0,1,0,0,0,0.2043538192,,75,0,0,17,43,0,5.5,17,5.5,0,43,0,0,5.5,0,56,0,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,2,4,0,0,0,0,0,0.6229843291,,0,0,0,43,0,100,5.5,69,5.5,56,0,56,43,43,5.5,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,2,3,3,1,0,0,0,0.0016558096,,75,0,0,17,17,43,0,43,0,30,30,30,17,82,30,17,17,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,2,4,0,0,0,0,0,0.3448750071,,150,0,0,17,0,0,17,43,17,0,56,17,43,0,0,43,82,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,3,4,1,0,0,0,0,0.5648373294,,0,0,0,43,0,43,0,69,17,43,43,5.5,30,100,17,0,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,3,7,0,0,0,0,0,0.6629046889,,0,0,0,30,17,5.5,0,30,5.5,0,56,100,43,30,0,0,43,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,4,2,0,0,0,0,0,0.3753849279,,0,0,0,17,5.5,17,17,30,30,30,17,5.5,43,5.5,17,82,43,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,3,5,0,1,0,0,0,0.1886027056,,350,0,0,17,30,17,5.5,69,17,30,56,82,30,5.5,0,17,30,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
