"SeqNum","MOSTYP","MSKB1","MAANTH","MOSHOO","MGODPR","MGEMLE","MFALLE","MSKA","MAUT2","MFWEKI","MRELGE","MAUT1","MAUT0","MHHUUR","MOPLHO","MSKB2","MSKC","MGODRK","MGEMOM","MINKGE","PPERSA","PAANHA","PWAPAR","AMOTSC","AWAPAR","APERSA","Resp"
44,14,2,4,1,0,5,0,8,0,7,2,2,2,2,3,2,4,2,1,3,0,0,0,0,0,0,0
45,25,3,3,4,2,7,0,7,1,3,0,3,2,1,9,4,0,5,1,6,0,0,5,1,0,0,0
46,19,3,3,2,0,5,1,7,1,2,1,2,3,1,4,2,4,4,1,4,0,0,3,1,0,0,1
48,19,4,2,2,0,4,0,8,0,1,1,2,0,1,1,1,5,4,0,4,0,0,3,1,0,0,0
49,20,3,3,2,2,4,1,8,0,5,1,6,1,0,4,3,2,4,1,5,0,0,0,0,0,0,0
50,14,3,3,1,0,4,0,7,0,1,0,3,6,0,5,1,3,4,0,3,0,0,2,1,0,0,0
51,14,2,4,1,0,2,2,7,0,6,0,3,4,0,0,0,6,3,0,3,0,0,0,0,0,0,0
52,6,2,3,9,0,5,1,3,2,3,2,4,2,1,2,1,5,3,0,1,0,0,3,1,0,0,0
53,1,2,3,8,1,4,2,6,2,4,1,3,2,1,0,1,3,3,1,2,0,0,3,0,0,0,0
54,33,2,4,6,0,7,0,6,0,2,3,0,4,3,8,2,4,3,2,6,0,0,2,1,0,0,0
55,14,3,3,1,0,6,1,7,0,3,1,3,3,1,8,1,0,2,0,3,0,0,4,1,0,0,0
56,20,5,2,2,1,5,0,7,1,0,0,6,3,0,7,3,0,4,0,5,0,0,4,1,0,0,0
57,33,1,2,6,0,5,1,4,3,3,4,4,3,1,1,0,3,5,0,6,0,0,0,0,0,0,0
58,34,3,2,6,0,6,0,7,2,2,2,5,2,0,9,4,2,4,0,7,0,0,4,1,0,0,1
59,16,2,3,1,0,4,4,7,2,7,0,4,1,1,2,2,5,3,0,5,0,0,0,0,0,0,0
61,11,2,4,10,0,5,3,4,1,4,2,5,2,1,0,4,5,3,0,2,0,0,0,0,0,0,0
62,17,3,3,1,1,4,1,6,1,4,1,2,4,1,5,2,3,4,1,3,0,0,3,0,0,0,0
63,15,3,3,1,0,4,0,9,0,5,3,5,2,2,7,4,0,2,2,6,0,0,0,0,0,0,0
64,4,1,1,8,0,2,4,2,2,4,0,7,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0
65,33,1,3,6,4,0,0,0,2,2,0,3,0,0,1,2,6,3,2,6,0,0,2,1,0,0,0
66,14,4,2,1,0,8,1,9,0,2,2,4,1,3,9,3,0,6,0,3,0,0,4,1,0,0,0
68,35,3,3,6,0,6,0,6,0,4,4,0,2,7,9,5,0,5,0,6,0,0,4,1,0,0,0
70,10,2,5,10,2,2,2,6,0,4,0,1,4,0,0,0,1,8,0,3,0,0,0,0,0,0,0
71,31,3,2,6,0,5,0,9,0,4,2,4,0,3,2,3,4,5,0,4,0,0,0,0,0,0,0
72,6,2,5,9,1,5,2,5,1,5,1,4,1,3,3,4,4,4,1,1,0,0,3,0,0,0,0
74,30,3,3,5,0,5,2,7,1,3,3,4,1,4,8,3,0,5,0,7,0,0,4,1,0,0,0
75,33,3,2,6,1,4,0,6,2,3,3,5,1,2,7,4,1,0,3,6,0,0,4,1,0,0,0
76,25,3,4,4,0,5,2,7,0,4,0,3,2,0,7,1,2,4,0,6,0,0,0,0,0,0,0
77,19,2,3,2,0,4,2,5,1,4,0,2,2,1,1,3,4,4,0,4,0,0,0,0,0,0,0
78,33,2,3,6,0,6,1,7,1,8,5,1,4,5,0,5,0,5,0,6,0,0,3,1,0,0,0
79,25,2,3,4,3,3,1,8,1,7,4,1,1,6,9,5,3,3,0,6,0,0,0,0,0,0,0
80,35,3,3,6,1,4,1,6,2,4,2,6,1,1,8,1,1,3,1,6,0,0,0,0,0,0,0
81,25,2,3,4,0,6,1,5,0,3,1,6,1,1,7,2,0,5,0,6,0,0,4,1,0,0,0
82,25,2,4,4,1,4,1,7,1,9,0,2,2,0,5,4,5,5,0,6,0,0,0,0,0,0,0
83,23,3,3,4,6,0,0,8,0,4,5,3,1,6,9,8,1,0,5,8,0,0,0,1,0,0,0
84,22,3,3,3,0,6,1,6,0,3,1,4,2,1,7,2,0,4,0,4,0,0,3,0,0,0,0
85,4,2,1,8,0,2,2,4,2,5,1,4,3,0,0,1,4,2,0,3,0,0,0,0,0,0,0
87,23,3,3,4,1,7,0,8,1,5,4,2,2,3,9,6,3,3,2,8,0,0,1,1,0,0,0
88,20,4,2,2,2,0,2,9,0,3,2,3,5,2,9,2,0,5,0,5,0,0,4,1,0,0,0
90,19,2,2,2,0,4,2,7,1,4,1,3,6,1,6,1,0,7,0,4,0,0,2,1,0,0,0
91,31,3,3,6,1,4,1,7,1,4,0,4,2,0,9,1,0,6,3,4,0,0,0,0,0,0,0
92,30,5,3,5,0,5,0,9,0,0,5,2,0,7,9,5,0,0,0,7,0,0,4,1,0,0,0
93,25,3,3,4,0,6,1,6,0,4,3,4,2,1,6,2,0,4,0,6,0,0,4,1,0,0,0
94,7,1,5,9,0,4,2,3,0,2,1,2,4,0,1,0,2,5,1,1,0,0,1,1,0,0,0
95,20,2,3,2,0,7,2,9,0,5,2,3,3,1,3,2,1,3,2,5,0,0,4,1,0,0,0
96,33,3,3,6,0,8,0,9,0,4,0,2,2,2,6,4,0,0,2,6,0,0,0,0,0,0,0
97,20,2,3,2,0,4,0,9,0,4,0,4,5,0,3,0,3,4,1,5,0,2,4,0,0,0,0
98,31,2,3,6,0,6,1,7,1,1,5,5,1,1,0,5,0,5,0,4,0,0,0,0,0,0,1
99,17,2,4,1,2,4,2,7,0,4,1,3,1,1,7,4,2,5,0,3,0,0,0,0,0,0,1
100,5,2,2,8,3,4,1,1,3,3,1,3,1,1,1,3,5,3,1,2,0,0,2,1,0,0,0
101,14,3,2,1,0,4,0,9,0,2,1,2,6,1,6,2,3,5,1,3,0,0,0,0,0,0,0
102,23,3,4,4,0,6,2,9,0,4,3,4,2,4,9,6,0,6,0,8,0,0,0,0,0,0,0
103,14,4,2,1,0,8,1,9,0,2,2,4,1,3,9,3,0,6,0,3,0,0,3,1,0,0,0
104,33,2,5,6,2,4,4,5,0,2,2,2,0,4,9,4,3,5,1,6,0,0,4,1,0,0,0
105,18,3,3,1,2,6,1,7,1,3,4,0,2,4,7,4,2,2,3,4,0,0,0,0,0,0,0
106,5,2,2,8,0,3,1,4,1,0,0,0,4,0,0,1,5,4,0,2,0,0,2,1,0,0,0
107,24,4,2,4,1,4,1,7,1,4,5,0,0,9,5,4,0,0,0,6,0,0,0,0,0,0,0
108,4,2,2,8,3,3,0,6,0,2,3,2,2,4,3,7,2,3,3,4,0,0,2,1,0,0,0
109,18,2,2,1,0,4,2,3,2,4,0,7,0,0,2,0,4,5,0,4,0,0,3,0,0,0,0
110,17,4,3,1,1,4,2,7,1,0,0,0,5,0,0,2,0,4,0,3,0,0,4,1,0,0,0
111,30,4,3,5,2,5,1,6,1,2,4,5,2,2,8,3,1,3,3,7,0,0,0,1,0,0,0
113,14,2,3,1,0,7,0,7,2,5,0,2,5,2,9,3,2,5,0,3,0,0,0,0,0,0,0
114,15,4,3,1,2,4,2,7,0,3,4,3,0,4,1,9,0,4,1,6,0,0,0,0,0,0,0
115,14,3,3,1,0,7,1,8,0,4,0,4,2,1,9,3,0,5,0,3,0,0,0,0,0,0,0
116,3,2,4,8,2,2,3,4,2,4,3,4,1,2,1,1,7,2,0,3,0,0,0,0,0,0,0
117,15,2,3,1,0,5,2,6,1,3,3,3,3,2,7,1,2,5,0,6,0,0,4,1,0,0,0
118,14,3,3,1,0,2,2,6,0,3,0,3,5,1,1,0,0,0,0,3,0,0,3,0,0,0,0
119,30,2,4,5,1,4,2,5,2,6,6,6,3,0,9,2,0,0,0,7,0,2,0,1,0,0,0
120,14,3,3,1,0,9,0,5,0,3,0,0,3,1,5,2,6,2,0,3,0,0,0,0,0,0,0
121,18,3,3,1,3,3,0,7,2,6,0,2,3,0,3,2,5,3,1,5,0,0,1,0,0,0,0
122,16,4,3,1,1,4,2,7,1,0,0,0,5,0,0,2,0,4,0,5,0,0,0,0,0,0,0
123,15,3,2,1,0,7,0,7,2,4,0,2,4,0,7,0,0,5,0,6,1,0,5,0,0,0,0
124,31,3,3,6,0,5,1,7,1,3,0,3,4,1,1,0,1,5,0,4,0,0,0,0,0,0,0
125,32,3,3,6,0,3,0,9,0,3,5,5,0,2,9,0,0,4,0,8,0,0,4,1,0,0,0
126,11,2,4,10,0,4,0,3,0,2,1,0,5,0,0,0,6,3,0,2,0,0,0,0,0,0,0
127,17,2,5,1,1,5,2,5,1,5,1,4,1,2,4,4,3,3,1,3,0,0,0,1,0,0,0
128,25,2,4,4,0,4,4,6,0,4,7,2,0,7,9,6,0,3,0,6,0,0,4,1,0,0,1
129,6,2,3,9,0,5,1,3,2,3,2,4,2,1,2,1,5,3,0,1,0,0,2,1,0,0,0
130,4,2,2,8,2,4,1,3,2,3,2,3,2,1,1,1,6,2,0,3,0,0,0,0,0,0,0
131,30,3,3,5,2,5,2,7,2,2,4,5,2,2,9,5,1,2,0,7,0,0,0,0,0,0,0
132,18,2,3,1,0,5,2,5,2,6,1,3,1,1,5,3,3,4,1,4,0,0,0,0,0,0,0
133,19,3,3,2,1,1,2,5,1,2,1,2,4,0,1,1,5,4,1,4,0,0,0,0,0,0,0
134,30,3,3,5,0,6,2,9,0,4,2,4,0,5,7,3,5,2,2,7,0,0,0,0,0,0,0
135,29,3,2,5,0,0,0,5,4,4,3,6,0,3,9,3,0,3,0,6,0,0,0,0,0,0,0
136,10,2,3,10,1,6,0,3,2,2,1,4,2,1,6,2,3,2,2,3,0,0,3,1,0,0,0
137,14,3,3,1,1,4,2,7,1,4,1,1,4,2,7,2,3,3,0,3,0,0,3,1,0,0,0
138,14,3,3,1,0,5,0,4,0,2,1,2,4,0,7,2,3,3,0,3,0,0,0,1,0,0,0
139,23,3,3,4,1,7,0,8,1,5,4,2,2,3,9,6,3,3,2,8,0,0,2,1,0,0,0
140,35,3,2,6,4,0,0,5,4,6,6,2,2,6,9,7,0,3,4,6,0,0,0,0,0,0,0
141,7,1,5,9,1,4,1,3,0,3,1,3,3,1,1,4,3,3,1,1,0,0,2,1,0,0,0
142,35,3,3,6,1,5,1,7,2,3,4,4,2,3,8,4,2,4,1,6,0,0,0,0,0,0,0
143,15,4,3,1,0,2,0,7,0,3,1,4,3,0,9,4,0,1,3,6,0,0,4,1,0,0,0
144,19,4,2,2,2,4,2,7,1,0,1,4,4,0,7,3,4,2,0,4,0,0,3,1,0,0,0
145,14,3,3,1,0,1,3,7,0,1,0,1,6,1,0,2,1,6,0,3,0,0,0,0,0,0,0
147,12,3,3,10,0,2,3,6,0,0,0,3,3,0,0,0,2,5,0,1,0,0,0,0,0,0,0
148,30,3,2,5,0,3,4,9,0,3,5,2,0,7,9,7,0,2,1,7,0,0,0,0,0,0,0
149,21,5,3,3,1,1,5,9,0,1,0,3,0,3,9,0,1,6,0,3,0,0,6,0,0,0,0
150,30,3,3,5,0,5,2,7,1,3,3,4,1,4,8,3,0,5,0,7,0,0,0,0,0,0,1
151,30,4,3,5,1,5,1,7,1,3,3,4,1,3,8,4,1,3,1,7,0,0,0,0,0,0,1
152,25,2,4,4,0,4,0,7,0,6,3,2,0,6,3,6,2,4,1,6,0,0,3,0,0,0,0
153,19,3,3,2,0,3,3,6,1,2,0,2,2,0,0,2,6,3,0,4,0,0,0,0,0,0,0
154,34,3,2,6,2,3,0,5,2,2,1,4,0,2,5,3,4,5,0,7,0,0,2,0,0,0,0
155,32,4,2,6,1,5,1,8,1,2,3,5,2,2,8,4,2,4,0,8,0,0,0,0,0,0,0
156,18,2,3,1,0,4,1,6,1,6,2,3,3,2,6,2,2,3,3,4,0,0,3,0,0,0,0
157,32,4,3,6,5,3,1,8,1,1,1,5,3,1,8,4,3,2,0,8,0,0,4,1,0,0,0
158,16,3,3,1,0,6,1,7,0,4,1,3,2,1,7,2,1,4,1,5,0,0,4,0,0,0,0
160,20,3,3,2,2,4,1,8,0,5,1,6,1,0,4,3,2,4,1,5,0,0,2,0,0,0,0
161,5,2,3,8,0,4,2,5,1,4,0,2,2,1,1,3,4,4,0,2,0,0,0,1,0,0,0
162,31,3,3,6,2,3,2,8,1,5,2,3,3,2,0,2,2,3,4,4,0,0,2,1,0,0,0
163,12,3,3,10,2,2,0,6,1,1,0,0,2,0,3,0,3,6,0,1,0,0,0,0,0,0,0
164,21,4,3,3,1,4,1,6,0,3,0,0,0,4,9,3,0,1,0,3,0,0,0,0,0,0,0
165,22,3,3,3,0,5,0,7,2,3,0,0,4,2,5,4,2,2,3,4,0,3,6,0,0,0,0
166,20,2,4,2,0,4,1,3,1,2,0,1,0,0,1,2,7,2,0,5,0,0,4,0,0,0,0
167,19,3,3,2,1,4,1,7,1,4,1,2,2,2,7,4,2,5,2,3,0,0,2,0,0,0,0
168,18,2,4,1,9,0,0,5,1,5,2,2,0,2,7,2,4,2,1,5,0,0,0,0,0,0,0
169,16,4,3,1,0,4,1,6,2,4,0,3,3,0,4,1,0,0,5,5,0,0,3,0,0,0,0
170,31,4,2,6,0,6,1,7,1,2,1,3,2,0,1,0,2,3,0,4,0,0,0,0,0,0,0
171,31,2,3,6,0,4,1,4,3,3,1,2,3,1,1,1,3,4,0,4,0,0,0,0,0,0,0
172,33,2,5,6,2,4,4,5,0,2,2,2,0,4,9,4,3,5,1,6,0,0,4,1,0,0,0
173,22,2,4,3,0,5,2,7,1,6,2,2,1,1,8,4,2,4,2,4,0,0,5,0,0,0,0
174,14,3,3,1,0,6,1,7,0,3,1,3,3,1,8,1,0,2,0,3,0,0,4,1,0,0,0
175,15,3,2,1,0,7,1,8,1,4,0,5,1,0,5,0,2,5,2,6,0,0,3,0,0,0,1
176,10,3,4,10,2,4,0,7,0,3,1,3,3,1,8,2,0,7,0,3,0,0,4,1,0,0,0
177,31,3,3,6,2,2,3,7,1,2,4,4,2,2,0,5,1,3,1,4,0,0,3,1,0,0,0
178,30,3,3,5,1,4,1,9,0,4,3,4,2,2,9,7,0,1,3,7,0,0,0,0,0,0,0
179,14,4,2,1,0,6,2,6,1,1,1,2,2,1,1,1,4,4,0,3,0,0,1,0,0,1,0
180,22,3,3,3,0,7,0,8,1,3,1,2,3,2,7,3,3,4,0,4,0,0,6,0,0,0,1
182,31,3,2,6,0,3,0,5,2,2,0,3,2,2,4,4,2,5,2,4,0,0,3,1,0,0,0
183,32,4,2,6,0,5,0,9,0,3,0,4,5,0,6,4,2,7,0,8,0,0,4,1,0,0,0
184,25,2,3,4,0,6,0,9,0,5,0,5,0,0,4,2,0,9,0,6,0,0,4,1,0,0,0
185,14,3,3,1,1,4,2,7,1,4,1,1,4,2,7,2,3,3,0,3,0,0,0,0,0,0,0
186,6,1,3,9,3,2,1,1,0,1,1,3,0,2,1,3,5,3,1,1,0,0,1,1,0,0,0
187,19,4,2,2,0,2,3,6,0,0,0,7,0,0,5,2,0,7,2,4,0,0,0,0,0,0,0
188,19,3,3,2,1,4,1,7,1,4,2,2,3,3,6,4,3,2,2,3,0,0,4,1,0,0,0
189,22,3,3,3,1,4,1,7,1,4,2,2,2,2,5,4,3,3,2,4,0,0,5,0,0,0,0
190,35,3,2,6,2,4,2,7,1,3,3,4,2,3,3,3,1,3,1,6,0,0,0,0,0,0,0
191,14,2,3,1,0,7,2,9,0,4,3,1,4,1,7,2,1,3,3,3,0,0,2,1,0,0,0
192,14,3,3,1,0,3,4,9,0,1,0,3,5,1,0,2,0,3,4,3,0,0,0,0,0,0,0
193,12,2,4,10,0,2,0,9,0,6,0,2,4,0,0,0,5,4,0,1,0,0,0,0,0,0,0
194,24,2,3,4,1,5,1,5,1,3,2,2,4,1,5,2,3,5,0,6,0,0,0,0,0,0,0
195,17,3,3,1,0,7,0,7,0,4,0,2,7,0,0,0,3,4,2,3,0,0,0,0,0,0,1
196,20,3,3,2,1,6,1,5,1,5,0,0,5,0,9,2,3,4,1,5,0,0,0,0,0,0,0
197,31,3,3,6,0,5,0,7,0,4,0,7,0,0,0,0,4,5,0,4,0,0,2,0,0,1,0
198,20,3,2,2,0,5,1,7,1,3,0,0,6,0,4,4,0,9,0,5,0,0,0,0,0,0,0
199,16,2,3,1,0,5,2,6,1,3,3,3,3,2,7,1,2,5,0,5,0,0,0,0,0,1,0
200,14,2,4,1,2,5,0,9,0,6,0,7,0,2,6,3,2,4,0,3,0,0,0,1,0,0,0
201,3,2,2,8,0,3,1,6,2,4,2,3,2,2,1,2,2,6,0,2,0,0,0,0,0,0,0
202,16,2,4,1,0,9,0,5,0,2,0,0,3,2,9,2,5,0,0,5,0,0,0,0,0,0,0
203,32,3,3,6,1,4,1,9,0,5,3,1,1,2,9,7,0,2,3,8,0,0,0,1,0,0,0
204,19,3,2,2,1,0,1,4,1,1,4,2,2,2,3,3,3,2,1,5,0,0,3,0,0,0,1
205,34,4,2,6,0,7,2,9,0,0,2,2,5,2,5,2,0,4,0,7,0,0,3,0,0,0,0
206,31,3,3,6,1,4,1,7,1,5,0,4,2,0,9,1,0,8,1,4,0,0,3,0,0,0,0
207,5,3,3,8,1,4,1,6,1,4,0,4,0,1,9,3,2,4,0,2,0,0,4,0,0,0,0
208,33,2,3,6,1,4,1,5,1,4,0,4,3,1,7,2,5,3,0,6,0,0,0,0,0,0,0
209,14,2,4,1,0,6,0,6,0,1,0,0,6,1,6,1,8,1,0,3,0,0,4,0,0,0,0
210,31,3,3,6,1,2,0,5,2,4,2,0,1,2,0,2,2,2,1,4,0,0,0,0,0,0,0
211,3,2,2,8,0,6,1,1,2,5,2,4,1,1,0,4,3,2,0,2,0,0,0,1,0,0,0
212,19,3,3,2,0,3,0,7,0,4,0,0,5,0,4,0,4,5,0,3,0,0,3,0,0,0,0
213,18,3,3,1,2,4,0,7,2,5,2,5,1,3,7,3,2,4,1,4,0,0,0,0,0,0,0
214,17,2,3,1,1,5,2,5,1,2,0,5,0,0,0,2,3,3,0,3,0,0,0,0,0,0,0
215,14,2,3,1,0,7,0,7,0,6,1,3,3,1,7,7,0,6,0,3,0,0,4,1,0,0,0
216,21,3,4,3,0,7,0,6,0,2,0,1,0,3,9,7,2,5,0,3,0,0,6,0,1,1,0
217,14,2,4,1,3,6,0,5,0,3,0,5,4,0,9,0,4,0,3,3,0,0,0,1,0,0,0
218,32,4,3,6,5,3,1,8,1,1,1,5,3,1,8,4,3,2,0,8,0,0,4,1,0,0,0
219,35,3,3,6,0,7,1,8,0,4,0,5,2,2,9,4,0,3,0,6,0,0,0,0,0,0,0
220,16,3,3,1,1,4,1,7,1,4,2,2,3,3,6,4,3,2,2,5,0,0,0,0,0,0,0
221,12,2,3,10,0,0,2,8,0,6,0,4,3,0,2,2,1,8,0,1,0,0,3,1,0,0,0
222,3,1,2,8,0,5,2,1,4,4,1,6,1,1,0,3,3,4,0,2,0,0,0,0,0,0,0
223,14,3,3,1,0,6,1,6,0,3,1,4,2,1,7,2,0,4,0,3,0,0,5,2,0,0,0
224,10,2,3,10,1,6,1,4,1,3,0,5,1,1,5,2,6,3,0,3,0,0,0,0,0,0,0
225,5,2,4,8,1,4,1,6,1,4,1,3,1,1,6,1,4,3,1,2,0,0,0,0,0,0,0
226,18,2,3,1,0,4,1,6,1,6,2,3,3,2,6,2,2,3,3,4,0,0,3,1,0,0,0
227,32,3,3,6,0,9,0,7,0,3,5,3,2,2,9,6,2,0,4,8,0,0,4,1,0,0,1
228,33,2,3,6,1,3,1,4,2,2,1,3,3,1,2,1,5,4,0,6,0,0,4,1,0,0,0
229,18,2,4,1,0,5,1,6,1,4,1,4,3,1,5,2,5,2,1,4,0,0,0,0,0,0,0
230,17,2,5,1,1,5,2,5,1,5,1,4,1,2,4,4,3,3,1,3,0,0,0,0,0,0,0
231,26,2,4,4,0,5,1,6,1,4,3,3,2,3,6,2,3,2,1,6,0,0,2,0,0,0,0
232,30,3,3,5,0,7,0,9,0,4,2,3,2,3,5,5,0,4,0,7,0,0,0,1,0,0,0
233,17,3,3,1,2,1,0,8,0,1,1,4,3,2,4,7,2,3,2,3,0,0,0,0,0,0,0
234,12,3,3,10,0,9,0,5,0,0,0,0,3,0,0,2,9,0,0,1,0,0,0,0,0,0,0
235,19,3,2,2,0,6,0,5,2,2,0,2,7,0,7,2,0,9,0,4,0,0,0,0,0,0,1
236,30,3,3,5,1,7,0,6,0,4,4,5,1,3,9,4,1,4,1,7,0,0,0,1,0,0,1
237,12,3,3,10,0,2,3,6,3,4,0,0,0,0,4,0,0,5,0,1,0,0,0,0,0,0,0
238,20,2,3,2,0,6,1,6,1,2,0,2,4,0,3,1,5,2,0,5,0,0,4,1,0,0,0
239,16,3,3,1,0,4,0,5,2,2,0,4,4,0,8,1,4,1,4,5,0,0,0,0,0,0,0
240,30,4,3,5,2,5,1,6,1,2,4,5,2,2,8,3,1,3,3,7,0,0,3,0,0,0,0
241,30,3,3,5,2,4,1,6,1,3,3,4,1,3,6,3,2,3,2,7,0,0,4,1,0,0,0
242,32,3,3,6,0,4,1,7,1,4,4,4,1,3,3,6,2,3,2,8,0,0,3,1,0,0,0
243,21,3,3,3,0,3,0,9,0,4,0,0,3,0,9,2,6,3,0,3,0,0,0,0,0,0,0
244,16,2,4,1,2,5,1,8,0,5,1,3,3,1,1,5,2,5,0,5,0,0,0,0,0,0,0
245,20,5,2,2,1,5,0,7,1,0,0,6,3,0,7,3,0,4,0,5,0,0,3,1,0,0,0
246,19,2,1,2,2,5,0,7,2,6,5,3,4,3,9,5,0,0,2,4,0,0,4,1,0,0,0
247,23,4,3,4,1,5,1,6,1,2,8,2,2,5,9,4,0,1,5,8,0,0,4,1,0,0,1
248,14,3,3,1,0,7,0,7,0,4,0,2,7,0,0,0,3,4,2,3,0,0,0,0,0,0,0
249,14,2,3,1,0,7,0,7,2,5,0,2,5,2,9,3,2,5,0,3,0,0,0,0,0,0,1
250,19,4,3,2,1,4,1,7,1,2,2,2,0,2,3,4,7,2,0,3,0,0,4,1,0,0,0
251,20,3,3,2,0,5,1,7,1,2,1,2,3,1,4,2,4,4,1,5,0,0,0,1,0,0,0
252,24,3,3,4,0,2,2,9,0,4,2,2,0,3,0,7,0,0,2,6,0,0,0,0,0,0,0
253,38,2,2,7,0,3,0,2,3,6,6,3,2,1,2,5,4,5,1,1,0,0,2,0,0,0,0
254,19,3,2,2,2,2,2,7,0,1,3,5,1,1,5,2,4,4,1,4,3,0,0,0,0,0,1
255,17,2,3,1,1,5,2,6,0,4,0,4,2,1,5,0,1,7,0,3,0,0,3,1,0,0,0
256,20,3,3,2,0,9,0,9,0,3,0,0,3,0,9,3,3,4,0,5,0,0,4,1,0,0,0
257,4,1,1,8,0,5,1,2,1,2,1,4,1,1,1,1,6,3,0,3,0,0,2,1,0,0,0
